,Title,Company Name,Location,Start Date,Duration,Stipend,Status,Links
228,Outreach And Sales Analyst,PLxN World Private Limited,[['Delhi']],Immediately,Starts immediatelyImmediately,"₹ 15,000 /month",1 week ago,https://internshala.com/internship/detail/outreach-and-sales-analyst-internship-in-delhi-at-plxn-world-private-limited1708576056
229,Mutual Fund Research Analyst,Armstrong Capital Advisory,[['Bangalore']],Immediately,Starts immediatelyImmediately,"₹ 15,000 /month",1 week ago,https://internshala.com/internship/detail/mutual-fund-research-analyst-internship-in-bangalore-at-armstrong-capital-advisory1708505594
230,Content Writing,Eumentis Informatics Private Limited,[['Pune']],Immediately,Starts immediatelyImmediately,"₹ 6,000 /month",1 week ago,https://internshala.com/internship/detail/content-writing-internship-in-pune-at-eumentis-informatics-private-limited1708424386
231,Business/Marketing Field Research,Sustain Farmers,"[['Hyderabad', 'Bangalore']]",Immediately,Starts immediatelyImmediately,"₹ 8,000-15,000 /month",1 week ago,https://internshala.com/internship/detail/business-marketing-field-research-internship-in-multiple-locations-at-sustain-farmers1708407412
232,Finance,DNK CONSULTANCY,[['Delhi']],Immediately,Starts immediatelyImmediately,"₹ 6,000 /month",1 week ago,https://internshala.com/internship/detail/finance-internship-in-delhi-at-dnk-consultancy1708265624
233,Database Building/Management,ArtForHumanity Foundation,[['Work From Home']],Immediately,Starts immediatelyImmediately,"₹ 15,000-20,000 lump sum",1 week ago,https://internshala.com/internship/detail/work-from-home-database-building-management-internship-at-artforhumanity-foundation1708057350
234,Computer Vision,Indika AI Private Limited,[['Delhi']],Immediately,Starts immediatelyImmediately,"₹ 8,000-10,000 /month",1 week ago,https://internshala.com/internship/detail/computer-vision-internship-in-delhi-at-indika-ai-private-limited1708055456
235,Key Account Manager,YOptima Media Solutions Private Limited,"[['Mumbai', 'Thane', 'Navi Mumbai']]",Immediately,Starts immediatelyImmediately,"₹ 25,000 /month",1 week ago,https://internshala.com/internship/detail/key-account-manager-internship-in-multiple-locations-at-yoptima-media-solutions-private-limited1708320497
236,Data Engineering,Pianalytix Edutech Private Limted,[['Work From Home']],Immediately,Starts immediatelyImmediately,"₹ 20,000 /month",1 week ago,https://internshala.com/internship/detail/work-from-home-part-time-data-engineering-internship-at-pianalytix-edutech-private-limted1707883815
237,Mobile App Development (AI-Based),Greendzine Technologies,[['Bangalore']],Immediately,Starts immediatelyImmediately,"₹ 18,000 /month",1 week ago,https://internshala.com/internship/detail/mobile-app-development-ai-based-internship-in-bangalore-at-greendzine-technologies1707798180
238,Educational Strategy And Research,Invest4Edu Private Limited,[['Work From Home']],Immediately,Starts immediatelyImmediately,"₹ 6,000 /month",1 week ago,https://internshala.com/internship/detail/work-from-home-part-time-educational-strategy-and-research-internship-at-invest4edu-private-limited1707740349
239,R&D - Power Electronics And Drives,Greendzine Technologies,[['Bangalore']],Immediately,Starts immediatelyImmediately,"₹ 18,000 /month",1 week ago,https://internshala.com/internship/detail/r-d-power-electronics-and-drives-internship-in-bangalore-at-greendzine-technologies1707731695
240,R&D - Robotics - Autonomous Navigation,Greendzine Technologies,[['Bangalore']],Immediately,Starts immediatelyImmediately,"₹ 18,000 /month",3 weeks ago,https://internshala.com/internship/detail/r-d-robotics-autonomous-navigation-internship-in-bangalore-at-greendzine-technologies1707731109
241,Data Analytics,Village Company,[['Greater Noida']],Immediately,Starts immediatelyImmediately,"₹ 5,000-6,000 /month",3 weeks ago,https://internshala.com/internship/detail/data-analytics-internship-in-greater-noida-at-village-company1708336712
242,Python Development,SurePass Technologies Private Limited,[['Work From Home']],Immediately,Starts immediatelyImmediately,"₹ 15,000 /month",3 weeks ago,https://internshala.com/internship/detail/work-from-home-python-development-internship-at-surepass-technologies-private-limited1707477665
243,Data Science,Emoolar Technology Private Limited,[['Work From Home']],Immediately,Starts immediatelyImmediately,"₹ 2,000 /month",3 weeks ago,https://internshala.com/internship/detail/work-from-home-part-time-data-science-internship-at-emoolar-technology-private-limited1707409955
244,Machine Learning,Xneuronz AI,[['Work From Home']],Immediately,Starts immediatelyImmediately,"₹ 5,000 /month +  Incentives",3 weeks ago,https://internshala.com/internship/detail/work-from-home-machine-learning-internship-at-xneuronz-ai1707392588
245,Data Engineering,Taiyō,[['Work From Home']],Immediately,Starts immediatelyImmediately,"₹ 15,000 /month",3 weeks ago,https://internshala.com/internship/detail/work-from-home-data-engineering-internship-at-taiy1707287975
246,Backend-Focused Full Stack Development: AI-Powered B2B SaaS,Siddharth Chopda,[['Work From Home']],Immediately,Starts immediatelyImmediately,$ 200-400 /month,3 weeks ago,https://internshala.com/internship/detail/work-from-home-backend-focused-full-stack-development-ai-powered-b2b-saas-internship-at-siddharth-chopda1707112788
247,Backend Development: AI-Powered B2B SaaS,Siddharth Chopda,[['Work From Home']],Immediately,Starts immediatelyImmediately,$ 200-400 /month,3 weeks ago,https://internshala.com/internship/detail/work-from-home-backend-development-ai-powered-b2b-saas-internship-at-siddharth-chopda1707112699
248,Python Development,BlueTide Solutions Private Limited,[['Gurgaon']],Immediately,Starts immediatelyImmediately,"₹ 15,000 /month",3 weeks ago,https://internshala.com/internship/detail/python-development-internship-in-gurgaon-at-bluetide-solutions-private-limited1706867493
249,Embedded Systems,Ground Screw Private Limited,"[['Mumbai', 'Pune']]",Immediately,Starts immediatelyImmediately,"₹ 20,000-30,000 /month",3 weeks ago,https://internshala.com/internship/detail/embedded-systems-internship-in-multiple-locations-at-ground-screw-private-limited1706776106
250,Python Development,Datannovitesol LLP,[['Pune']],Immediately,Starts immediatelyImmediately,"₹ 10,000 /month",3 weeks ago,https://internshala.com/internship/detail/python-development-internship-in-pune-at-datannovitesol-llp1706676457
251,Backend Development,S7works,[['Work From Home']],Immediately,Starts immediatelyImmediately,"₹ 12,000 /month",3 weeks ago,https://internshala.com/internship/detail/work-from-home-backend-development-internship-at-s7works1706329975
